uniprotAC;name;locus;groupID;strain
B5EXS2;rfbA;SeAg_B2220;2426;Salmonella_enterica_serovar_Agona_SL483
B5EXS3;rfbD;SeAg_B2221;897;Salmonella_enterica_serovar_Agona_SL483
B5EXS4;rfbB;SeAg_B2222;88;Salmonella_enterica_serovar_Agona_SL483
B5EXS8;SeAg_B2226;SeAg_B2226;3210;Salmonella_enterica_serovar_Agona_SL483
B5EXT0;SeAg_B2228;SeAg_B2228;2001;Salmonella_enterica_serovar_Agona_SL483
B5EXT1;cpsG;SeAg_B2229;1604;Salmonella_enterica_serovar_Agona_SL483
B5EXT2;cpsB;SeAg_B2230;1479;Salmonella_enterica_serovar_Agona_SL483
B5EXT4;nudD;SeAg_B2232;2238;Salmonella_enterica_serovar_Agona_SL483
B5EXT5;fcl;SeAg_B2233;2865;Salmonella_enterica_serovar_Agona_SL483
B5EXT6;gmd;SeAg_B2234;1366;Salmonella_enterica_serovar_Agona_SL483
B5EXY5;thiD;SeAg_B2289;844;Salmonella_enterica_serovar_Agona_SL483
B5EXY6;thiM;SeAg_B2290;3083;Salmonella_enterica_serovar_Agona_SL483
B5EY02;SeAg_B2307;SeAg_B2307;243;Salmonella_enterica_serovar_Agona_SL483
B5EY04;SeAg_B2309;SeAg_B2309;2137;Salmonella_enterica_serovar_Agona_SL483
B5EY06;SeAg_B2311;SeAg_B2311;1634;Salmonella_enterica_serovar_Agona_SL483
B5EY07;SeAg_B2312;SeAg_B2312;661;Salmonella_enterica_serovar_Agona_SL483
B5EY09;gmk;SeAg_B3957;1733;Salmonella_enterica_serovar_Agona_SL483
B5EY10;rpoZ;SeAg_B3958;2062;Salmonella_enterica_serovar_Agona_SL483
B5EY16;SeAg_B3964;SeAg_B3964;3204;Salmonella_enterica_serovar_Agona_SL483
B5EY37;mgtA;SeAg_B3988;86;Salmonella_enterica_serovar_Agona_SL483
B5EY56;SeAg_B4008;SeAg_B4008;1642;Salmonella_enterica_serovar_Agona_SL483
B5EY57;SeAg_B4009;SeAg_B4009;271;Salmonella_enterica_serovar_Agona_SL483
B5EY58;SeAg_B4010;SeAg_B4010;2004;Salmonella_enterica_serovar_Agona_SL483
B5EY61;uhpT;SeAg_B4013;2705;Salmonella_enterica_serovar_Agona_SL483
B5EY66;fucP;SeAg_B4018;2076;Salmonella_enterica_serovar_Agona_SL483
B5EY67;rbsK;SeAg_B4019;2641;Salmonella_enterica_serovar_Agona_SL483
B5EY69;ilvN;SeAg_B4021;1245;Salmonella_enterica_serovar_Agona_SL483
B5EY70;ilvB;SeAg_B4022;2187;Salmonella_enterica_serovar_Agona_SL483
B5EY75;dsdA;SeAg_B4027;31;Salmonella_enterica_serovar_Agona_SL483
B5EY98;torA;SeAg_B4050;864;Salmonella_enterica_serovar_Agona_SL483
B5EY99;torC;SeAg_B4051;1580;Salmonella_enterica_serovar_Agona_SL483
B5EYB6;allA;SeAg_B0562;1897;Salmonella_enterica_serovar_Agona_SL483
B5EYB9;hyi;SeAg_B0565;1567;Salmonella_enterica_serovar_Agona_SL483
B5EYC0;SeAg_B0566;SeAg_B0566;2095;Salmonella_enterica_serovar_Agona_SL483
B5EYC2;ncs1;SeAg_B0568;3817;Salmonella_enterica_serovar_Agona_SL483
B5EYC3;allB;SeAg_B0569;124;Salmonella_enterica_serovar_Agona_SL483
B5EYC6;SeAg_B0572;SeAg_B0572;563;Salmonella_enterica_serovar_Agona_SL483
B5EYC7;allC;SeAg_B0573;2471;Salmonella_enterica_serovar_Agona_SL483
B5EYC8;allD;SeAg_B0574;1222;Salmonella_enterica_serovar_Agona_SL483
B5EYD2;arcC;SeAg_B0578;761;Salmonella_enterica_serovar_Agona_SL483
B5EYD3;purK;SeAg_B0579;2248;Salmonella_enterica_serovar_Agona_SL483
B5EYD4;purE;SeAg_B0580;144;Salmonella_enterica_serovar_Agona_SL483
B5EYD5;lpxH;SeAg_B0581;588;Salmonella_enterica_serovar_Agona_SL483
B5EYE2;folD;SeAg_B0588;1396;Salmonella_enterica_serovar_Agona_SL483
B5EYG5;SeAg_B0613;SeAg_B0613;218;Salmonella_enterica_serovar_Agona_SL483
B5EYG9;SeAg_B0617;SeAg_B0617;320;Salmonella_enterica_serovar_Agona_SL483
B5EYH6;SeAg_B0624;SeAg_B0624;70;Salmonella_enterica_serovar_Agona_SL483
B5EYH7;SeAg_B0625;SeAg_B0625;1318;Salmonella_enterica_serovar_Agona_SL483
B5EYI0;SeAg_B0628;SeAg_B0628;4084;Salmonella_enterica_serovar_Agona_SL483
B5EYI2;SeAg_B0630;SeAg_B0630;2121;Salmonella_enterica_serovar_Agona_SL483
B5EYI3;SeAg_B0631;SeAg_B0631;806;Salmonella_enterica_serovar_Agona_SL483
B5EYI4;SeAg_B0632;SeAg_B0632;811;Salmonella_enterica_serovar_Agona_SL483
B5EYI5;SeAg_B0633;SeAg_B0633;2779;Salmonella_enterica_serovar_Agona_SL483
B5EYI6;SeAg_B0634;SeAg_B0634;1506;Salmonella_enterica_serovar_Agona_SL483
B5EYI7;entE;SeAg_B0635;614;Salmonella_enterica_serovar_Agona_SL483
B5EYI8;entB;SeAg_B0636;3159;Salmonella_enterica_serovar_Agona_SL483
B5EYI9;entA;SeAg_B0637;3447;Salmonella_enterica_serovar_Agona_SL483
B5EYJ9;ahpC;SeAg_B0647;1258;Salmonella_enterica_serovar_Agona_SL483
B5EYL1;citF;SeAg_B0661;1842;Salmonella_enterica_serovar_Agona_SL483
B5EYL2;citE;SeAg_B0662;220;Salmonella_enterica_serovar_Agona_SL483
B5EYL3;citD;SeAg_B0663;705;Salmonella_enterica_serovar_Agona_SL483
B5EYL8;dcuC;SeAg_B0668;862;Salmonella_enterica_serovar_Agona_SL483
B5EYM8;SeAg_B2323;SeAg_B2323;2346;Salmonella_enterica_serovar_Agona_SL483
B5EYN3;cdd;SeAg_B2329;2753;Salmonella_enterica_serovar_Agona_SL483
B5EYP0;SeAg_B2336;SeAg_B2336;2314;Salmonella_enterica_serovar_Agona_SL483
B5EYP3;folE;SeAg_B2339;2853;Salmonella_enterica_serovar_Agona_SL483
B5EYP4;fghA;SeAg_B2340;990;Salmonella_enterica_serovar_Agona_SL483
B5EYP9;SeAg_B2345;SeAg_B2345;574;Salmonella_enterica_serovar_Agona_SL483
B5EYQ6;SeAg_B2352;SeAg_B2352;121;Salmonella_enterica_serovar_Agona_SL483
B5EYQ7;fruK;SeAg_B2353;3137;Salmonella_enterica_serovar_Agona_SL483
B5EYQ8;fruB;SeAg_B2354;3615;Salmonella_enterica_serovar_Agona_SL483
B5EYU2;napC;SeAg_B2390;2188;Salmonella_enterica_serovar_Agona_SL483
B5EYU3;napB;SeAg_B2391;2492;Salmonella_enterica_serovar_Agona_SL483
B5EYU5;napA;SeAg_B2394;2263;Salmonella_enterica_serovar_Agona_SL483
B5EYV9;SeAg_B2410;SeAg_B2410;850;Salmonella_enterica_serovar_Agona_SL483
B5EYW1;ubiG;SeAg_B2412;1095;Salmonella_enterica_serovar_Agona_SL483
B5EYW2;nrdA;SeAg_B2413;22;Salmonella_enterica_serovar_Agona_SL483
B5EYW3;nrdB;SeAg_B2414;1760;Salmonella_enterica_serovar_Agona_SL483
B5EYW7;glpQ;SeAg_B2418;473;Salmonella_enterica_serovar_Agona_SL483
B5EYW9;glpA;SeAg_B2420;954;Salmonella_enterica_serovar_Agona_SL483
B5EYX0;glpB;SeAg_B2421;1890;Salmonella_enterica_serovar_Agona_SL483
B5EYX1;glpC;SeAg_B2422;2998;Salmonella_enterica_serovar_Agona_SL483
B5EYY6;pstA;SeAg_B4080;2127;Salmonella_enterica_serovar_Agona_SL483
B5EYY7;pstC;SeAg_B4081;1724;Salmonella_enterica_serovar_Agona_SL483
B5EYZ0;SeAg_B4084;SeAg_B4084;164;Salmonella_enterica_serovar_Agona_SL483
B5EYZ2;glmS;SeAg_B4086;2457;Salmonella_enterica_serovar_Agona_SL483
B5EYZ3;glmU;SeAg_B4087;2983;Salmonella_enterica_serovar_Agona_SL483
B5EYZ5;atpC;SeAg_B4089;3343;Salmonella_enterica_serovar_Agona_SL483
B5EYZ6;atpD;SeAg_B4090;2818;Salmonella_enterica_serovar_Agona_SL483
B5EYZ7;atpG;SeAg_B4091;3194;Salmonella_enterica_serovar_Agona_SL483
B5EYZ8;atpA;SeAg_B4092;2601;Salmonella_enterica_serovar_Agona_SL483
B5EYZ9;atpH;SeAg_B4093;3635;Salmonella_enterica_serovar_Agona_SL483
B5EZ00;atpF;SeAg_B4094;2722;Salmonella_enterica_serovar_Agona_SL483
B5EZ01;atpE;SeAg_B4095;666;Salmonella_enterica_serovar_Agona_SL483
B5EZ02;atpB;SeAg_B4096;877;Salmonella_enterica_serovar_Agona_SL483
B5EZ13;trkD;SeAg_B4107;1739;Salmonella_enterica_serovar_Agona_SL483
B5EZ16;rbsC;SeAg_B4110;3876;Salmonella_enterica_serovar_Agona_SL483
B5EZ17;rbsB;SeAg_B4111;1348;Salmonella_enterica_serovar_Agona_SL483
B5EZ18;rbsK;SeAg_B4112;248;Salmonella_enterica_serovar_Agona_SL483
B5EZ25;ilvG;SeAg_B4126;1884;Salmonella_enterica_serovar_Agona_SL483
B5EZ27;ilvE;SeAg_B4128;1118;Salmonella_enterica_serovar_Agona_SL483
B5EZ28;ilvD;SeAg_B4129;735;Salmonella_enterica_serovar_Agona_SL483
B5EZ33;SeAg_B4134;SeAg_B4134;1832;Salmonella_enterica_serovar_Agona_SL483
B5EZ41;trxA;SeAg_B4142;3171;Salmonella_enterica_serovar_Agona_SL483
B5EZ43;wecA;SeAg_B4144;3970;Salmonella_enterica_serovar_Agona_SL483
B5EZ44;SeAg_B4145;SeAg_B4145;616;Salmonella_enterica_serovar_Agona_SL483
B5EZ45;SeAg_B4146;SeAg_B4146;3658;Salmonella_enterica_serovar_Agona_SL483
B5EZ46;wecC;SeAg_B4147;510;Salmonella_enterica_serovar_Agona_SL483
B5EZ47;rfbB2;SeAg_B4148;4074;Salmonella_enterica_serovar_Agona_SL483
B5EZ49;wecD;SeAg_B4150;1722;Salmonella_enterica_serovar_Agona_SL483
B5EZ50;wecE;SeAg_B4151;3952;Salmonella_enterica_serovar_Agona_SL483
B5EZ51;SeAg_B4152;SeAg_B4152;2568;Salmonella_enterica_serovar_Agona_SL483
B5EZ52;wecF;SeAg_B4153;453;Salmonella_enterica_serovar_Agona_SL483
B5EZ53;wzyE;SeAg_B4154;3468;Salmonella_enterica_serovar_Agona_SL483
B5EZ54;SeAg_B4155;SeAg_B4155;1090;Salmonella_enterica_serovar_Agona_SL483
B5EZ58;SeAg_B4164;SeAg_B4164;1896;Salmonella_enterica_serovar_Agona_SL483
B5EZ59;hemD;SeAg_B4165;2849;Salmonella_enterica_serovar_Agona_SL483
B5EZ60;hemC;SeAg_B4166;1108;Salmonella_enterica_serovar_Agona_SL483
B5EZ72;lipA;SeAg_B0674;2033;Salmonella_enterica_serovar_Agona_SL483
B5EZ75;lipB;SeAg_B0677;1020;Salmonella_enterica_serovar_Agona_SL483
B5EZ77;dacA;SeAg_B0679;1746;Salmonella_enterica_serovar_Agona_SL483
B5EZ80;mrdA;SeAg_B0682;2244;Salmonella_enterica_serovar_Agona_SL483
B5EZ84;cobC;SeAg_B0686;533;Salmonella_enterica_serovar_Agona_SL483
B5EZ85;cobD;SeAg_B0687;2945;Salmonella_enterica_serovar_Agona_SL483
B5EZ86;nadD;SeAg_B0688;263;Salmonella_enterica_serovar_Agona_SL483
B5EZ89;leuS;SeAg_B0691;1322;Salmonella_enterica_serovar_Agona_SL483
B5EZ91;SeAg_B0693;SeAg_B0693;3921;Salmonella_enterica_serovar_Agona_SL483
B5EZA0;SeAg_B0702;SeAg_B0702;1732;Salmonella_enterica_serovar_Agona_SL483
B5EZA2;rihA;SeAg_B0704;3523;Salmonella_enterica_serovar_Agona_SL483
B5EZA5;gltJ;SeAg_B0707;849;Salmonella_enterica_serovar_Agona_SL483
B5EZA6;gltI;SeAg_B0709;925;Salmonella_enterica_serovar_Agona_SL483
B5EZA7;lnt;SeAg_B0710;1177;Salmonella_enterica_serovar_Agona_SL483
B5EZB3;ubiF;SeAg_B0716;3010;Salmonella_enterica_serovar_Agona_SL483
B5EZC0;nagA;SeAg_B0730;313;Salmonella_enterica_serovar_Agona_SL483
B5EZC1;nagB;SeAg_B0731;231;Salmonella_enterica_serovar_Agona_SL483
B5EZC7;SeAg_B0737;SeAg_B0737;97;Salmonella_enterica_serovar_Agona_SL483
B5EZC8;cobZ;SeAg_B0738;1796;Salmonella_enterica_serovar_Agona_SL483
B5EZD1;fldA;SeAg_B0741;564;Salmonella_enterica_serovar_Agona_SL483
B5EZD5;pgm;SeAg_B0745;1852;Salmonella_enterica_serovar_Agona_SL483
B5EZD8;SeAg_B0748;SeAg_B0748;2850;Salmonella_enterica_serovar_Agona_SL483
B5EZE3;kdpB;SeAg_B0753;611;Salmonella_enterica_serovar_Agona_SL483
B5EZE4;kdpA;SeAg_B0754;2353;Salmonella_enterica_serovar_Agona_SL483
B5EZF5;sdhC;SeAg_B0765;800;Salmonella_enterica_serovar_Agona_SL483
B5EZF6;sdhD;SeAg_B0766;784;Salmonella_enterica_serovar_Agona_SL483
B5EZF7;sdhA;SeAg_B0767;3736;Salmonella_enterica_serovar_Agona_SL483
B5EZF8;sdhB;SeAg_B0768;1219;Salmonella_enterica_serovar_Agona_SL483
B5EZF9;sucA;SeAg_B0769;1016;Salmonella_enterica_serovar_Agona_SL483
B5EZG0;sucB;SeAg_B0770;2189;Salmonella_enterica_serovar_Agona_SL483
B5EZG1;sucC;SeAg_B0771;1368;Salmonella_enterica_serovar_Agona_SL483
B5EZG8;SeAg_B2425;SeAg_B2425;3223;Salmonella_enterica_serovar_Agona_SL483
B5EZG9;SeAg_B2426;SeAg_B2426;850;Salmonella_enterica_serovar_Agona_SL483
B5EZH0;SeAg_B2427;SeAg_B2427;3751;Salmonella_enterica_serovar_Agona_SL483
B5EZH4;SeAg_B2431;SeAg_B2431;1942;Salmonella_enterica_serovar_Agona_SL483
B5EZH6;SeAg_B2433;SeAg_B2433;3167;Salmonella_enterica_serovar_Agona_SL483
B5EZH7;SeAg_B2434;SeAg_B2434;780;Salmonella_enterica_serovar_Agona_SL483
B5EZH8;SeAg_B2435;SeAg_B2435;2125;Salmonella_enterica_serovar_Agona_SL483
B5EZI4;menE;SeAg_B2441;3742;Salmonella_enterica_serovar_Agona_SL483
B5EZI5;menC;SeAg_B2442;2216;Salmonella_enterica_serovar_Agona_SL483
B5EZI6;menB;SeAg_B2443;1576;Salmonella_enterica_serovar_Agona_SL483
B5EZI7;SeAg_B2444;SeAg_B2444;3036;Salmonella_enterica_serovar_Agona_SL483
B5EZI8;menD;SeAg_B2445;700;Salmonella_enterica_serovar_Agona_SL483
B5EZI9;SeAg_B2446;SeAg_B2446;207;Salmonella_enterica_serovar_Agona_SL483
B5EZJ7;nuoN;SeAg_B2455;251;Salmonella_enterica_serovar_Agona_SL483
B5EZJ8;nuoM;SeAg_B2456;295;Salmonella_enterica_serovar_Agona_SL483
B5EZJ9;nuoL;SeAg_B2457;2469;Salmonella_enterica_serovar_Agona_SL483
B5EZK0;nuoK;SeAg_B2458;572;Salmonella_enterica_serovar_Agona_SL483
B5EZK1;nuoJ;SeAg_B2459;439;Salmonella_enterica_serovar_Agona_SL483
B5EZK2;nuoI;SeAg_B2460;731;Salmonella_enterica_serovar_Agona_SL483
B5EZK3;nuoH;SeAg_B2461;1041;Salmonella_enterica_serovar_Agona_SL483
B5EZK4;nuoG;SeAg_B2462;3846;Salmonella_enterica_serovar_Agona_SL483
B5EZK5;nuoF;SeAg_B2463;3490;Salmonella_enterica_serovar_Agona_SL483
B5EZK6;nuoE;SeAg_B2464;2034;Salmonella_enterica_serovar_Agona_SL483
