Entry	Gene names  (ordered locus )	Gene names  (primary )	Organism	Organism ID
B5EXC7	SeAg_B3930	rfaC	Salmonella agona (strain SL483)	454166
B5EXC8	SeAg_B3931		Salmonella agona (strain SL483)	454166
B5EXC9	SeAg_B3932		Salmonella agona (strain SL483)	454166
B5EXD0	SeAg_B3933		Salmonella agona (strain SL483)	454166
B5EXD1	SeAg_B3934		Salmonella agona (strain SL483)	454166
B5EXD2	SeAg_B3935		Salmonella agona (strain SL483)	454166
B5EXD3	SeAg_B3936		Salmonella agona (strain SL483)	454166
B5EXD4	SeAg_B3937		Salmonella agona (strain SL483)	454166
B5EXD5	SeAg_B3938		Salmonella agona (strain SL483)	454166
B5EXD7	SeAg_B3940		Salmonella agona (strain SL483)	454166
B5EXD8	SeAg_B3941	waaA	Salmonella agona (strain SL483)	454166
B5EXD9	SeAg_B3942	coaD	Salmonella agona (strain SL483)	454166
B5EXF7	SeAg_B0455	ribD	Salmonella agona (strain SL483)	454166
B5EXF8	SeAg_B0456	ribH	Salmonella agona (strain SL483)	454166
B5EXG0	SeAg_B0458	thiL	Salmonella agona (strain SL483)	454166
B5EXG1	SeAg_B0459	pgpA	Salmonella agona (strain SL483)	454166
B5EXG4	SeAg_B0462	ispA	Salmonella agona (strain SL483)	454166
B5EXG6	SeAg_B0464	thiI	Salmonella agona (strain SL483)	454166
B5EXG7	SeAg_B0465	phnV	Salmonella agona (strain SL483)	454166
B5EXH1	SeAg_B0470	phnW	Salmonella agona (strain SL483)	454166
B5EXH2	SeAg_B0471	phnX	Salmonella agona (strain SL483)	454166
B5EXH4	SeAg_B0473	panE	Salmonella agona (strain SL483)	454166
B5EXH9	SeAg_B0478	cyoE	Salmonella agona (strain SL483)	454166
B5EXI0	SeAg_B0479	cyoD	Salmonella agona (strain SL483)	454166
B5EXI1	SeAg_B0480	cyoC	Salmonella agona (strain SL483)	454166
B5EXI2	SeAg_B0481	cyoB	Salmonella agona (strain SL483)	454166
B5EXI5	SeAg_B0484		Salmonella agona (strain SL483)	454166
B5EXJ7	SeAg_B0497	cof	Salmonella agona (strain SL483)	454166
B5EXK4	SeAg_B0504		Salmonella agona (strain SL483)	454166
B5EXK5	SeAg_B0505	tesB	Salmonella agona (strain SL483)	454166
B5EXL2	SeAg_B0513		Salmonella agona (strain SL483)	454166
B5EXM5	SeAg_B0527	apt	Salmonella agona (strain SL483)	454166
B5EXN0	SeAg_B0533	adk	Salmonella agona (strain SL483)	454166
B5EXN2	SeAg_B0535	hemH	Salmonella agona (strain SL483)	454166
B5EXN3	SeAg_B0536	aes	Salmonella agona (strain SL483)	454166
B5EXN4	SeAg_B0537	gsk	Salmonella agona (strain SL483)	454166
B5EXP9	SeAg_B0554		Salmonella agona (strain SL483)	454166
B5EXQ6	SeAg_B2204		Salmonella agona (strain SL483)	454166
B5EXQ8	SeAg_B2206	gnd	Salmonella agona (strain SL483)	454166
B5EXQ9	SeAg_B2207		Salmonella agona (strain SL483)	454166
B5EXR0	SeAg_B2208		Salmonella agona (strain SL483)	454166
B5EXR2	SeAg_B2210		Salmonella agona (strain SL483)	454166
B5EXR3	SeAg_B2211		Salmonella agona (strain SL483)	454166
B5EXR4	SeAg_B2212		Salmonella agona (strain SL483)	454166
B5EXR5	SeAg_B2213		Salmonella agona (strain SL483)	454166
B5EXR6	SeAg_B2214		Salmonella agona (strain SL483)	454166
B5EXR7	SeAg_B2215		Salmonella agona (strain SL483)	454166
B5EXR8	SeAg_B2216	rfbG	Salmonella agona (strain SL483)	454166
B5EXS0	SeAg_B2218		Salmonella agona (strain SL483)	454166
B5EXS1	SeAg_B2219	rfbC	Salmonella agona (strain SL483)	454166
B5EXS2	SeAg_B2220	rfbA	Salmonella agona (strain SL483)	454166
B5EXS3	SeAg_B2221	rfbD	Salmonella agona (strain SL483)	454166
B5EXS4	SeAg_B2222	rfbB	Salmonella agona (strain SL483)	454166
B5EXS8	SeAg_B2226		Salmonella agona (strain SL483)	454166
B5EXT0	SeAg_B2228		Salmonella agona (strain SL483)	454166
B5EXT1	SeAg_B2229	cpsG	Salmonella agona (strain SL483)	454166
B5EXT2	SeAg_B2230	cpsB	Salmonella agona (strain SL483)	454166
B5EXT4	SeAg_B2232	nudD	Salmonella agona (strain SL483)	454166
B5EXT5	SeAg_B2233	fcl	Salmonella agona (strain SL483)	454166
B5EXT6	SeAg_B2234	gmd	Salmonella agona (strain SL483)	454166
B5EXY5	SeAg_B2289	thiD	Salmonella agona (strain SL483)	454166
B5EXY6	SeAg_B2290	thiM	Salmonella agona (strain SL483)	454166
B5EY02	SeAg_B2307		Salmonella agona (strain SL483)	454166
B5EY04	SeAg_B2309		Salmonella agona (strain SL483)	454166
B5EY06	SeAg_B2311		Salmonella agona (strain SL483)	454166
B5EY07	SeAg_B2312		Salmonella agona (strain SL483)	454166
B5EY09	SeAg_B3957	gmk	Salmonella agona (strain SL483)	454166
B5EY10	SeAg_B3958	rpoZ	Salmonella agona (strain SL483)	454166
B5EY16	SeAg_B3964		Salmonella agona (strain SL483)	454166
B5EY37	SeAg_B3988	mgtA	Salmonella agona (strain SL483)	454166
B5EY56	SeAg_B4008		Salmonella agona (strain SL483)	454166
B5EY57	SeAg_B4009		Salmonella agona (strain SL483)	454166
B5EY58	SeAg_B4010		Salmonella agona (strain SL483)	454166
B5EY61	SeAg_B4013	uhpT	Salmonella agona (strain SL483)	454166
B5EY66	SeAg_B4018	fucP	Salmonella agona (strain SL483)	454166
B5EY67	SeAg_B4019	rbsK	Salmonella agona (strain SL483)	454166
B5EY69	SeAg_B4021	ilvN	Salmonella agona (strain SL483)	454166
B5EY70	SeAg_B4022	ilvB	Salmonella agona (strain SL483)	454166
B5EY75	SeAg_B4027	dsdA	Salmonella agona (strain SL483)	454166
B5EY98	SeAg_B4050	torA	Salmonella agona (strain SL483)	454166
B5EY99	SeAg_B4051	torC	Salmonella agona (strain SL483)	454166
B5EYB6	SeAg_B0562	allA	Salmonella agona (strain SL483)	454166
B5EYB9	SeAg_B0565	hyi	Salmonella agona (strain SL483)	454166
B5EYC0	SeAg_B0566		Salmonella agona (strain SL483)	454166
B5EYC2	SeAg_B0568	ncs1	Salmonella agona (strain SL483)	454166
B5EYC3	SeAg_B0569	allB	Salmonella agona (strain SL483)	454166
B5EYC6	SeAg_B0572		Salmonella agona (strain SL483)	454166
B5EYC7	SeAg_B0573	allC	Salmonella agona (strain SL483)	454166
B5EYC8	SeAg_B0574	allD	Salmonella agona (strain SL483)	454166
B5EYD2	SeAg_B0578	arcC	Salmonella agona (strain SL483)	454166
B5EYD3	SeAg_B0579	purK	Salmonella agona (strain SL483)	454166
B5EYD4	SeAg_B0580	purE	Salmonella agona (strain SL483)	454166
B5EYD5	SeAg_B0581	lpxH	Salmonella agona (strain SL483)	454166
B5EYE2	SeAg_B0588	folD	Salmonella agona (strain SL483)	454166
B5EYG5	SeAg_B0613		Salmonella agona (strain SL483)	454166
B5EYG9	SeAg_B0617		Salmonella agona (strain SL483)	454166
B5EYH6	SeAg_B0624		Salmonella agona (strain SL483)	454166
B5EYH7	SeAg_B0625		Salmonella agona (strain SL483)	454166
B5EYI0	SeAg_B0628		Salmonella agona (strain SL483)	454166
B5EYI2	SeAg_B0630		Salmonella agona (strain SL483)	454166
B5EYI3	SeAg_B0631		Salmonella agona (strain SL483)	454166
B5EYI4	SeAg_B0632	entS	Salmonella agona (strain SL483)	454166
B5EYI5	SeAg_B0633		Salmonella agona (strain SL483)	454166
B5EYI6	SeAg_B0634		Salmonella agona (strain SL483)	454166
B5EYI7	SeAg_B0635		Salmonella agona (strain SL483)	454166
B5EYI8	SeAg_B0636	entB	Salmonella agona (strain SL483)	454166
B5EYI9	SeAg_B0637	entA	Salmonella agona (strain SL483)	454166
B5EYJ9	SeAg_B0647	ahpC	Salmonella agona (strain SL483)	454166
B5EYL1	SeAg_B0661	citF	Salmonella agona (strain SL483)	454166
B5EYL2	SeAg_B0662	citE	Salmonella agona (strain SL483)	454166
B5EYL3	SeAg_B0663	citD	Salmonella agona (strain SL483)	454166
B5EYL8	SeAg_B0668		Salmonella agona (strain SL483)	454166
B5EYM8	SeAg_B2323		Salmonella agona (strain SL483)	454166
B5EYN3	SeAg_B2329	cdd	Salmonella agona (strain SL483)	454166
B5EYP0	SeAg_B2336		Salmonella agona (strain SL483)	454166
B5EYP3	SeAg_B2339	folE	Salmonella agona (strain SL483)	454166
B5EYP4	SeAg_B2340	fghA	Salmonella agona (strain SL483)	454166
B5EYP9	SeAg_B2345		Salmonella agona (strain SL483)	454166
B5EYQ6	SeAg_B2352		Salmonella agona (strain SL483)	454166
B5EYQ7	SeAg_B2353	fruK	Salmonella agona (strain SL483)	454166
B5EYQ8	SeAg_B2354	fruB	Salmonella agona (strain SL483)	454166
B5EYU2	SeAg_B2390	napC	Salmonella agona (strain SL483)	454166
B5EYU3	SeAg_B2391	napB	Salmonella agona (strain SL483)	454166
B5EYU5	SeAg_B2394	napA	Salmonella agona (strain SL483)	454166
B5EYV9	SeAg_B2410		Salmonella agona (strain SL483)	454166
B5EYW1	SeAg_B2412	ubiG	Salmonella agona (strain SL483)	454166
B5EYW2	SeAg_B2413	nrdA	Salmonella agona (strain SL483)	454166
B5EYW3	SeAg_B2414	nrdB	Salmonella agona (strain SL483)	454166
B5EYW7	SeAg_B2418		Salmonella agona (strain SL483)	454166
B5EYW9	SeAg_B2420	glpA	Salmonella agona (strain SL483)	454166
B5EYX0	SeAg_B2421	glpB	Salmonella agona (strain SL483)	454166
B5EYX1	SeAg_B2422	glpC	Salmonella agona (strain SL483)	454166
B5EYY6	SeAg_B4080	pstA	Salmonella agona (strain SL483)	454166
B5EYY7	SeAg_B4081	pstC	Salmonella agona (strain SL483)	454166
B5EYZ0	SeAg_B4084		Salmonella agona (strain SL483)	454166
B5EYZ2	SeAg_B4086	glmS	Salmonella agona (strain SL483)	454166
B5EYZ3	SeAg_B4087	glmU	Salmonella agona (strain SL483)	454166
B5EYZ5	SeAg_B4089	atpC	Salmonella agona (strain SL483)	454166
B5EYZ6	SeAg_B4090	atpD	Salmonella agona (strain SL483)	454166
B5EYZ7	SeAg_B4091	atpG	Salmonella agona (strain SL483)	454166
B5EYZ8	SeAg_B4092	atpA	Salmonella agona (strain SL483)	454166
B5EYZ9	SeAg_B4093	atpH	Salmonella agona (strain SL483)	454166
B5EZ00	SeAg_B4094	atpF	Salmonella agona (strain SL483)	454166
B5EZ01	SeAg_B4095	atpE	Salmonella agona (strain SL483)	454166
B5EZ02	SeAg_B4096	atpB	Salmonella agona (strain SL483)	454166
B5EZ13	SeAg_B4107	kup	Salmonella agona (strain SL483)	454166
B5EZ16	SeAg_B4110	rbsC	Salmonella agona (strain SL483)	454166
B5EZ17	SeAg_B4111	rbsB	Salmonella agona (strain SL483)	454166
B5EZ18	SeAg_B4112	rbsK	Salmonella agona (strain SL483)	454166
B5EZ25	SeAg_B4126	ilvG	Salmonella agona (strain SL483)	454166
B5EZ27	SeAg_B4128	ilvE	Salmonella agona (strain SL483)	454166
B5EZ28	SeAg_B4129	ilvD	Salmonella agona (strain SL483)	454166
B5EZ33	SeAg_B4134	ilvC	Salmonella agona (strain SL483)	454166
B5EZ41	SeAg_B4142	trx	Salmonella agona (strain SL483)	454166
B5EZ43	SeAg_B4144	wecA	Salmonella agona (strain SL483)	454166
B5EZ44	SeAg_B4145	wzzE	Salmonella agona (strain SL483)	454166
B5EZ45	SeAg_B4146	wecB	Salmonella agona (strain SL483)	454166
B5EZ46	SeAg_B4147	wecC	Salmonella agona (strain SL483)	454166
B5EZ47	SeAg_B4148	rfbB2	Salmonella agona (strain SL483)	454166
B5EZ49	SeAg_B4150	wecD	Salmonella agona (strain SL483)	454166
B5EZ50	SeAg_B4151	wecE	Salmonella agona (strain SL483)	454166
B5EZ51	SeAg_B4152	wzxE	Salmonella agona (strain SL483)	454166
B5EZ52	SeAg_B4153	wecF	Salmonella agona (strain SL483)	454166
B5EZ53	SeAg_B4154	wzyE	Salmonella agona (strain SL483)	454166
B5EZ54	SeAg_B4155	wecG	Salmonella agona (strain SL483)	454166
B5EZ58	SeAg_B4164		Salmonella agona (strain SL483)	454166
B5EZ59	SeAg_B4165	hemD	Salmonella agona (strain SL483)	454166
B5EZ60	SeAg_B4166	hemC	Salmonella agona (strain SL483)	454166
B5EZ72	SeAg_B0674	lipA	Salmonella agona (strain SL483)	454166
B5EZ75	SeAg_B0677	lipB	Salmonella agona (strain SL483)	454166
B5EZ77	SeAg_B0679	dacA	Salmonella agona (strain SL483)	454166
B5EZ80	SeAg_B0682	mrdA	Salmonella agona (strain SL483)	454166
B5EZ84	SeAg_B0686	cobC	Salmonella agona (strain SL483)	454166
B5EZ85	SeAg_B0687	cobD	Salmonella agona (strain SL483)	454166
B5EZ86	SeAg_B0688	nadD	Salmonella agona (strain SL483)	454166
B5EZ89	SeAg_B0691	leuS	Salmonella agona (strain SL483)	454166
B5EZ91	SeAg_B0693		Salmonella agona (strain SL483)	454166
B5EZA0	SeAg_B0702		Salmonella agona (strain SL483)	454166
B5EZA2	SeAg_B0704	rihA	Salmonella agona (strain SL483)	454166
B5EZA5	SeAg_B0707	gltJ	Salmonella agona (strain SL483)	454166
B5EZA6	SeAg_B0709	gltI	Salmonella agona (strain SL483)	454166
B5EZA7	SeAg_B0710	lnt	Salmonella agona (strain SL483)	454166
B5EZB3	SeAg_B0716		Salmonella agona (strain SL483)	454166
B5EZC0	SeAg_B0730	nagA2	Salmonella agona (strain SL483)	454166
B5EZC1	SeAg_B0731	nagB	Salmonella agona (strain SL483)	454166
B5EZC7	SeAg_B0737		Salmonella agona (strain SL483)	454166
B5EZC8	SeAg_B0738	cobZ	Salmonella agona (strain SL483)	454166
B5EZD1	SeAg_B0741	fldA	Salmonella agona (strain SL483)	454166
B5EZD5	SeAg_B0745	pgm	Salmonella agona (strain SL483)	454166
B5EZD8	SeAg_B0748		Salmonella agona (strain SL483)	454166
B5EZE3	SeAg_B0753	kdpB	Salmonella agona (strain SL483)	454166
B5EZE4	SeAg_B0754	kdpA	Salmonella agona (strain SL483)	454166
B5EZF5	SeAg_B0765	sdhC	Salmonella agona (strain SL483)	454166
B5EZF6	SeAg_B0766	sdhD	Salmonella agona (strain SL483)	454166
B5EZF7	SeAg_B0767	sdhA	Salmonella agona (strain SL483)	454166
B5EZF8	SeAg_B0768		Salmonella agona (strain SL483)	454166
B5EZF9	SeAg_B0769	sucA	Salmonella agona (strain SL483)	454166
B5EZG0	SeAg_B0770	sucB	Salmonella agona (strain SL483)	454166
B5EZG1	SeAg_B0771	sucC	Salmonella agona (strain SL483)	454166
B5EZG8	SeAg_B2425	rhmA	Salmonella agona (strain SL483)	454166
B5EZG9	SeAg_B2426		Salmonella agona (strain SL483)	454166
B5EZH0	SeAg_B2427	rhmD	Salmonella agona (strain SL483)	454166
B5EZH4	SeAg_B2431	nudI	Salmonella agona (strain SL483)	454166
B5EZH6	SeAg_B2433	arnB	Salmonella agona (strain SL483)	454166
B5EZH7	SeAg_B2434	arnC	Salmonella agona (strain SL483)	454166
B5EZH8	SeAg_B2435	arnA	Salmonella agona (strain SL483)	454166
B5EZI4	SeAg_B2441	menE	Salmonella agona (strain SL483)	454166
B5EZI5	SeAg_B2442	menC	Salmonella agona (strain SL483)	454166
B5EZI6	SeAg_B2443	menB	Salmonella agona (strain SL483)	454166
B5EZI7	SeAg_B2444	menH	Salmonella agona (strain SL483)	454166
B5EZI8	SeAg_B2445	menD	Salmonella agona (strain SL483)	454166
B5EZI9	SeAg_B2446		Salmonella agona (strain SL483)	454166
B5EZJ7	SeAg_B2455	nuoN	Salmonella agona (strain SL483)	454166
B5EZJ8	SeAg_B2456	nuoM	Salmonella agona (strain SL483)	454166
B5EZJ9	SeAg_B2457	nuoL	Salmonella agona (strain SL483)	454166
B5EZK0	SeAg_B2458	nuoK	Salmonella agona (strain SL483)	454166
B5EZK1	SeAg_B2459	nuoJ	Salmonella agona (strain SL483)	454166
B5EZK2	SeAg_B2460	nuoI	Salmonella agona (strain SL483)	454166
B5EZK3	SeAg_B2461	nuoH	Salmonella agona (strain SL483)	454166
B5EZK4	SeAg_B2462	nuoG	Salmonella agona (strain SL483)	454166
B5EZK5	SeAg_B2463	nuoF	Salmonella agona (strain SL483)	454166
B5EZK6	SeAg_B2464	nuoE	Salmonella agona (strain SL483)	454166
B5EZK7	SeAg_B2465	nuoC	Salmonella agona (strain SL483)	454166
B5EZK8	SeAg_B2466	nuoB	Salmonella agona (strain SL483)	454166
B5EZL3	SeAg_B2471		Salmonella agona (strain SL483)	454166
B5EZM0	SeAg_B2478	ackA	Salmonella agona (strain SL483)	454166
B5EZM1	SeAg_B2479		Salmonella agona (strain SL483)	454166
B5EZM3	SeAg_B2481		Salmonella agona (strain SL483)	454166
B5EZM4	SeAg_B2482		Salmonella agona (strain SL483)	454166
B5EZN5	SeAg_B2493	hisM	Salmonella agona (strain SL483)	454166
B5EZN6	SeAg_B2494	hisQ	Salmonella agona (strain SL483)	454166
B5EZN7	SeAg_B2495		Salmonella agona (strain SL483)	454166
B5EZN8	SeAg_B2496		Salmonella agona (strain SL483)	454166
B5EZP0	SeAg_B2498	ubiX	Salmonella agona (strain SL483)	454166
B5EZP4	SeAg_B2502		Salmonella agona (strain SL483)	454166
B5EZP9	SeAg_B2507	folC	Salmonella agona (strain SL483)	454166
B5EZQ0	SeAg_B2508	accD	Salmonella agona (strain SL483)	454166
B5EZQ4	SeAg_B2512	pdxB	Salmonella agona (strain SL483)	454166
B5EZR0	SeAg_B2518		Salmonella agona (strain SL483)	454166
B5EZR5	SeAg_B2523	mepA	Salmonella agona (strain SL483)	454166
B5EZR6	SeAg_B2524	aroC	Salmonella agona (strain SL483)	454166
B5EZS0	SeAg_B2529	fadI	Salmonella agona (strain SL483)	454166
B5EZS2	SeAg_B2531		Salmonella agona (strain SL483)	454166
B5EZS3	SeAg_B4175	dapF	Salmonella agona (strain SL483)	454166
B5EZS9	SeAg_B4181	corA	Salmonella agona (strain SL483)	454166
B5EZT4	SeAg_B4186		Salmonella agona (strain SL483)	454166
B5EZT8	SeAg_B4190	pldB	Salmonella agona (strain SL483)	454166
B5EZU1	SeAg_B4194	metE	Salmonella agona (strain SL483)	454166
B5EZU6	SeAg_B4199	udp	Salmonella agona (strain SL483)	454166
B5EZU8	SeAg_B4201	ubiE	Salmonella agona (strain SL483)	454166
B5EZV0	SeAg_B4203	ubiB	Salmonella agona (strain SL483)	454166
B5EZV6	SeAg_B4209	ubiD	Salmonella agona (strain SL483)	454166
B5EZV7	SeAg_B4210		Salmonella agona (strain SL483)	454166
B5EZV9	SeAg_B4212	fadA	Salmonella agona (strain SL483)	454166
B5EZW0	SeAg_B4213	fadB	Salmonella agona (strain SL483)	454166
B5EZW4	SeAg_B4217	hemG	Salmonella agona (strain SL483)	454166
B5EZW9	SeAg_B4228		Salmonella agona (strain SL483)	454166
B5EZX5	SeAg_B4236	hemN	Salmonella agona (strain SL483)	454166
B5EZY2	SeAg_B4243		Salmonella agona (strain SL483)	454166
B5EZY6	SeAg_B4247		Salmonella agona (strain SL483)	454166
B5EZY9	SeAg_B4250		Salmonella agona (strain SL483)	454166
B5F004	SeAg_B4265		Salmonella agona (strain SL483)	454166
B5F009	SeAg_B4270	fdoI	Salmonella agona (strain SL483)	454166
B5F010	SeAg_B4271	fdoH	Salmonella agona (strain SL483)	454166
B5F023	SeAg_B0776	cydA	Salmonella agona (strain SL483)	454166
B5F034	SeAg_B0792	nadA	Salmonella agona (strain SL483)	454166
B5F035	SeAg_B0793		Salmonella agona (strain SL483)	454166
B5F036	SeAg_B0794	zitB	Salmonella agona (strain SL483)	454166
B5F038	SeAg_B0796	aroG	Salmonella agona (strain SL483)	454166
B5F039	SeAg_B0797		Salmonella agona (strain SL483)	454166
B5F046	SeAg_B0804		Salmonella agona (strain SL483)	454166
B5F050	SeAg_B0808	gpmA	Salmonella agona (strain SL483)	454166
B5F051	SeAg_B0809	galM	Salmonella agona (strain SL483)	454166
B5F052	SeAg_B0810	galK	Salmonella agona (strain SL483)	454166
B5F053	SeAg_B0811	galT	Salmonella agona (strain SL483)	454166
B5F059	SeAg_B0817	modA	Salmonella agona (strain SL483)	454166
B5F060	SeAg_B0818	modB	Salmonella agona (strain SL483)	454166
B5F063	SeAg_B0821	pgl	Salmonella agona (strain SL483)	454166
B5F066	SeAg_B0824	hutG	Salmonella agona (strain SL483)	454166
B5F071	SeAg_B0829	bioA	Salmonella agona (strain SL483)	454166
B5F072	SeAg_B0830	bioB	Salmonella agona (strain SL483)	454166
B5F074	SeAg_B0832	bioC	Salmonella agona (strain SL483)	454166
B5F075	SeAg_B0833	bioD	Salmonella agona (strain SL483)	454166
B5F082	SeAg_B0840	moaD	Salmonella agona (strain SL483)	454166
B5F083	SeAg_B0841	moaE	Salmonella agona (strain SL483)	454166
B5F089	SeAg_B0847	clsB	Salmonella agona (strain SL483)	454166
B5F0A8	SeAg_B0866	glnH	Salmonella agona (strain SL483)	454166
B5F0B2	SeAg_B0870		Salmonella agona (strain SL483)	454166
B5F0B8	SeAg_B0877		Salmonella agona (strain SL483)	454166
B5F0C4	SeAg_B0884		Salmonella agona (strain SL483)	454166
B5F0C5	SeAg_B2532		Salmonella agona (strain SL483)	454166
B5F0C6	SeAg_B2533		Salmonella agona (strain SL483)	454166
B5F0D1	SeAg_B2540		Salmonella agona (strain SL483)	454166
B5F0E2	SeAg_B2552	nupC	Salmonella agona (strain SL483)	454166
B5F0E9	SeAg_B2565	nupG	Salmonella agona (strain SL483)	454166
B5F0F0	SeAg_B2566	xapA	Salmonella agona (strain SL483)	454166
B5F0F5	SeAg_B2571	ligA	Salmonella agona (strain SL483)	454166
B5F0G0	SeAg_B2576	ptsH	Salmonella agona (strain SL483)	454166
B5F0G1	SeAg_B2577	ptsI	Salmonella agona (strain SL483)	454166
B5F0G2	SeAg_B2578	crr	Salmonella agona (strain SL483)	454166
B5F0G4	SeAg_B2580	pdxK	Salmonella agona (strain SL483)	454166
